Product Family,Sum of count of orders,Avg product weight in Kg
agro industry and commerce,212,5.26
foods,510,0.92
food drinks,278,1.31
Arts,209,1.69
arts and crafts,24,1.16
artigos de festas,43,2.71
artigos de natal,153,1.85
Audio,364,0.64
automotive,4235,2.65
babies,3065,3.66
drinks,379,1.74
beauty saude,9670,1.43
hopping,4117,1.87
bed table banho,11115,2.46
comfort house,434,3.80
comfort house 2,30,1.47
construcao house,604,3.40
cds dvds music,14,0.55
cinema photo,72,0.80
climatizacao,297,4.46
consoles games,1137,0.64
construcao ferramentas construcao,929,3.55
construcao ferramentas ferramentas,103,1.05
construcao ferramentas iluminacao,304,2.28
construcao ferramentas jardim,238,2.40
construcao ferramentas seguranca,194,0.95
cool stuff,3796,2.57
blu ray dvds,64,0.38
household appliances,771,1.98
household appliances 2,238,9.91
electronics,2767,1.28
eletroportateis,679,4.01
lazer sport,8641,2.02
fashion bags and accessories,2031,0.43
fashion traced,262,1.04
fashion sports,30,0.34
fashion roupa feminina,48,0.57
fashion roupa infantile youth,8,0.32
male fashion roupa,132,0.56
fashion underwear e moda praia,131,0.36
ferramentas jardim,4347,3.10
flowers,33,1.40
fraldas hygiene,39,1.04
"industry, commerce and business",268,5.93
computer accessories,7827,0.90
musical instruments,680,3.36
the cuisine,14,4.35
imported books,60,0.60
Geral Interesse Books,553,0.75
technical books,267,1.11
bad accessories,1092,3.72
market place,311,1.54
moveis colchao e stew,38,13.19
moveis cozinha service area jantar and garden,281,11.60
moveis decoracao,8334,3.01
moveis desk,1691,12.74
you move room 1,109,10.00
you move room 2,503,8.93
music,38,1.21
paperwork,2517,1.76
pc gamer,9,1.43
pcs,203,8.00
perfumery,3419,0.53
pet shop,1947,3.09
you carried home forno and cafe,76,3.07
portateis cozinha and food preparers,15,2.52
present praise,5991,0.51
insurance and services,2,0.81
sinalizacao and seguranca,199,2.97
printed tablets or imagem,83,0.38
telephony,4545,0.24
fixed telephone,264,0.66
domestic utilities,6964,3.02
